('BUFSIZ\tmacro', 'BUFSIZ')
('EOF\tmacro', 'EOF')
('FILE\ttypedef', 'FILE')
('FILENAME_MAX\tmacro', 'FILENAME_MAX')
('FOPEN_MAX\tmacro', 'FOPEN_MAX')
('L_ctermid\tmacro', 'L_ctermid')
('L_tmpnam\tmacro', 'L_tmpnam')
('NULL\tmacro', 'NULL')
('OBJC_NEW_PROPERTIES\tmacro', 'OBJC_NEW_PROPERTIES')
('P_tmpdir\tmacro', 'P_tmpdir')
('SEEK_CUR\tmacro', 'SEEK_CUR')
('SEEK_END\tmacro', 'SEEK_END')
('SEEK_SET\tmacro', 'SEEK_SET')
('TMP_MAX\tmacro', 'TMP_MAX')
('_BSD_I386__TYPES_H_\tmacro', '_BSD_I386__TYPES_H_')
('_BSD_MACHINE__TYPES_H_\tmacro', '_BSD_MACHINE__TYPES_H_')
('_CDEFS_H_\tmacro', '_CDEFS_H_')
('_DARWIN_FEATURE_64_BIT_INODE\tmacro', '_DARWIN_FEATURE_64_BIT_INODE')
('_DARWIN_FEATURE_ONLY_UNIX_CONFORMANCE\tmacro', '_DARWIN_FEATURE_ONLY_UNIX_CONFORMANCE')
('_DARWIN_FEATURE_UNIX_CONFORMANCE\tmacro', '_DARWIN_FEATURE_UNIX_CONFORMANCE')
('_FORTIFY_SOURCE\tmacro', '_FORTIFY_SOURCE')
('_FSTDIO\tmacro', '_FSTDIO')
('_IOFBF\tmacro', '_IOFBF')
('_IOLBF\tmacro', '_IOLBF')
('_IONBF\tmacro', '_IONBF')
('_LP64\tmacro', '_LP64')
('_OFF_T\tmacro', '_OFF_T')
('_SIZE_T\tmacro', '_SIZE_T')
('_SSIZE_T\tmacro', '_SSIZE_T')
('_STDIO_H_\tmacro', '_STDIO_H_')
('_SYS__TYPES_H_\tmacro', '_SYS__TYPES_H_')
('_VA_LIST\tmacro', '_VA_LIST')
('__APPLE_CC__\tmacro', '__APPLE_CC__')
('__APPLE__\tmacro', '__APPLE__')
('__AVAILABILITY_INTERNAL_DEPRECATED\tmacro', '__AVAILABILITY_INTERNAL_DEPRECATED')
('__AVAILABILITY_INTERNAL_REGULAR\tmacro', '__AVAILABILITY_INTERNAL_REGULAR')
('__AVAILABILITY_INTERNAL_UNAVAILABLE\tmacro', '__AVAILABILITY_INTERNAL_UNAVAILABLE')
('__AVAILABILITY_INTERNAL_WEAK_IMPORT\tmacro', '__AVAILABILITY_INTERNAL_WEAK_IMPORT')
('__AVAILABILITY_INTERNAL__\tmacro', '__AVAILABILITY_INTERNAL__')
('__AVAILABILITY_INTERNAL__MAC_10_0\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_0')
('__AVAILABILITY_INTERNAL__MAC_10_0_DEP__MAC_10_1\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_0_DEP__MAC_10_1')
('__AVAILABILITY_INTERNAL__MAC_10_0_DEP__MAC_10_2\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_0_DEP__MAC_10_2')
('__AVAILABILITY_INTERNAL__MAC_10_0_DEP__MAC_10_3\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_0_DEP__MAC_10_3')
('__AVAILABILITY_INTERNAL__MAC_10_0_DEP__MAC_10_4\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_0_DEP__MAC_10_4')
('__AVAILABILITY_INTERNAL__MAC_10_0_DEP__MAC_10_5\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_0_DEP__MAC_10_5')
('__AVAILABILITY_INTERNAL__MAC_10_0_DEP__MAC_10_6\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_0_DEP__MAC_10_6')
('__AVAILABILITY_INTERNAL__MAC_10_0_DEP__MAC_10_7\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_0_DEP__MAC_10_7')
('__AVAILABILITY_INTERNAL__MAC_10_0_DEP__MAC_NA\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_0_DEP__MAC_NA')
('__AVAILABILITY_INTERNAL__MAC_10_1\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_1')
('__AVAILABILITY_INTERNAL__MAC_10_1_DEP__MAC_10_2\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_1_DEP__MAC_10_2')
('__AVAILABILITY_INTERNAL__MAC_10_1_DEP__MAC_10_3\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_1_DEP__MAC_10_3')
('__AVAILABILITY_INTERNAL__MAC_10_1_DEP__MAC_10_4\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_1_DEP__MAC_10_4')
('__AVAILABILITY_INTERNAL__MAC_10_1_DEP__MAC_10_5\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_1_DEP__MAC_10_5')
('__AVAILABILITY_INTERNAL__MAC_10_1_DEP__MAC_10_6\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_1_DEP__MAC_10_6')
('__AVAILABILITY_INTERNAL__MAC_10_1_DEP__MAC_10_7\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_1_DEP__MAC_10_7')
('__AVAILABILITY_INTERNAL__MAC_10_1_DEP__MAC_NA\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_1_DEP__MAC_NA')
('__AVAILABILITY_INTERNAL__MAC_10_2\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_2')
('__AVAILABILITY_INTERNAL__MAC_10_2_DEP__MAC_10_3\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_2_DEP__MAC_10_3')
('__AVAILABILITY_INTERNAL__MAC_10_2_DEP__MAC_10_4\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_2_DEP__MAC_10_4')
('__AVAILABILITY_INTERNAL__MAC_10_2_DEP__MAC_10_5\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_2_DEP__MAC_10_5')
('__AVAILABILITY_INTERNAL__MAC_10_2_DEP__MAC_10_6\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_2_DEP__MAC_10_6')
('__AVAILABILITY_INTERNAL__MAC_10_2_DEP__MAC_10_7\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_2_DEP__MAC_10_7')
('__AVAILABILITY_INTERNAL__MAC_10_2_DEP__MAC_NA\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_2_DEP__MAC_NA')
('__AVAILABILITY_INTERNAL__MAC_10_3\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_3')
('__AVAILABILITY_INTERNAL__MAC_10_3_DEP__MAC_10_4\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_3_DEP__MAC_10_4')
('__AVAILABILITY_INTERNAL__MAC_10_3_DEP__MAC_10_5\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_3_DEP__MAC_10_5')
('__AVAILABILITY_INTERNAL__MAC_10_3_DEP__MAC_10_6\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_3_DEP__MAC_10_6')
('__AVAILABILITY_INTERNAL__MAC_10_3_DEP__MAC_10_7\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_3_DEP__MAC_10_7')
('__AVAILABILITY_INTERNAL__MAC_10_3_DEP__MAC_NA\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_3_DEP__MAC_NA')
('__AVAILABILITY_INTERNAL__MAC_10_4\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_4')
('__AVAILABILITY_INTERNAL__MAC_10_4_DEP__MAC_10_5\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_4_DEP__MAC_10_5')
('__AVAILABILITY_INTERNAL__MAC_10_4_DEP__MAC_10_6\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_4_DEP__MAC_10_6')
('__AVAILABILITY_INTERNAL__MAC_10_4_DEP__MAC_10_7\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_4_DEP__MAC_10_7')
('__AVAILABILITY_INTERNAL__MAC_10_4_DEP__MAC_NA\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_4_DEP__MAC_NA')
('__AVAILABILITY_INTERNAL__MAC_10_5\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_5')
('__AVAILABILITY_INTERNAL__MAC_10_5_DEP__MAC_10_6\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_5_DEP__MAC_10_6')
('__AVAILABILITY_INTERNAL__MAC_10_5_DEP__MAC_10_7\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_5_DEP__MAC_10_7')
('__AVAILABILITY_INTERNAL__MAC_10_5_DEP__MAC_NA\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_5_DEP__MAC_NA')
('__AVAILABILITY_INTERNAL__MAC_10_6\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_6')
('__AVAILABILITY_INTERNAL__MAC_10_6_DEP__MAC_10_7\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_6_DEP__MAC_10_7')
